sample	alignment	read_length	method	n_down_first10	dom_frac	dom_frame	offset_periodicity	offset_argmax	offset_in_table	reproduces_table	periodicity_changed_value
A549	transcriptome	24	periodicity	2726	0.5257	1	11	7	11	True	True
A549	transcriptome	25	periodicity	3625	0.5898	1	11	11	11	True	False
A549	transcriptome	26	periodicity	5692	0.5383	1	11	9	11	True	True
A549	transcriptome	27	periodicity	9066	0.6174	1	11	11	11	True	False
A549	transcriptome	28	periodicity	11971	0.709	1	11	11	11	True	False
A549	transcriptome	29	periodicity	8802	0.6347	1	11	11	11	True	False
BJ	transcriptome	26	periodicity	1248	0.4599	1	11	9	11	True	True
BJ	transcriptome	27	periodicity	4352	0.4642	1	11	11	11	True	False
BJ	transcriptome	28	periodicity	11815	0.5626	1	11	11	11	True	False
BJ	transcriptome	29	periodicity	11020	0.5201	1	11	11	11	True	False
BJ	transcriptome	30	periodicity	4885	0.4178	0	12	12	12	True	False
BRx-142	transcriptome	26	periodicity	4654	0.592	1	11	11	11	True	False
BRx-142	transcriptome	27	periodicity	8615	0.5314	1	11	11	11	True	False
BRx-142	transcriptome	28	periodicity	15095	0.5691	1	11	11	11	True	False
BRx-142	transcriptome	29	periodicity	19870	0.6113	1	11	11	11	True	False
BRx-142	transcriptome	30	periodicity	16406	0.5305	1	11	11	11	True	False
BRx-142	transcriptome	31	periodicity	8427	0.4719	1	11	11	11	True	False
Cybrid_Cells	transcriptome	23	periodicity	2299	0.5133	1	11	11	11	True	False
Cybrid_Cells	transcriptome	24	periodicity	3487	0.4752	1	11	11	11	True	False
Cybrid_Cells	transcriptome	25	periodicity	5030	0.5183	1	11	11	11	True	False
Cybrid_Cells	transcriptome	26	periodicity	7129	0.4772	1	11	11	11	True	False
Cybrid_Cells	transcriptome	27	periodicity	10147	0.515	1	11	11	11	True	False
Cybrid_Cells	transcriptome	28	periodicity	14113	0.6295	1	11	11	11	True	False
Cybrid_Cells	transcriptome	29	periodicity	9565	0.5587	1	11	11	11	True	False
Cybrid_Cells	transcriptome	30	periodicity	3820	0.4257	1	11	12	11	True	True
H1-hESC	transcriptome	25	periodicity	6731	0.5772	1	11	11	11	True	False
H1-hESC	transcriptome	26	periodicity	11922	0.4435	1	11	9	11	True	True
H1-hESC	transcriptome	27	periodicity	24503	0.5787	1	11	11	11	True	False
H1-hESC	transcriptome	28	periodicity	38304	0.6883	1	11	11	11	True	False
H1-hESC	transcriptome	29	periodicity	26918	0.6042	1	11	11	11	True	False
H9-hESC	transcriptome	25	periodicity	3572	0.5658	1	11	11	11	True	False
H9-hESC	transcriptome	26	periodicity	7701	0.5625	1	11	11	11	True	False
H9-hESC	transcriptome	27	periodicity	13725	0.7268	1	11	11	11	True	False
H9-hESC	transcriptome	28	periodicity	12405	0.7645	1	11	11	11	True	False
H9-hESC	transcriptome	29	periodicity	4432	0.6534	1	11	11	11	True	False
HEK293	transcriptome	26	periodicity	11763	0.5246	1	11	11	11	True	False
HEK293	transcriptome	27	periodicity	22754	0.5228	1	11	11	11	True	False
HEK293	transcriptome	28	periodicity	36674	0.5606	1	11	11	11	True	False
HEK293	transcriptome	29	periodicity	40863	0.5477	1	11	11	11	True	False
HEK293	transcriptome	30	periodicity	29881	0.4669	1	11	12	11	True	True
HEK293	transcriptome	31	periodicity	14175	0.5005	0	12	12	12	True	False
HEK293T	transcriptome	25	periodicity	3364	0.5559	1	11	11	11	True	False
HEK293T	transcriptome	26	periodicity	8085	0.5029	1	11	9	11	True	True
HEK293T	transcriptome	27	periodicity	15367	0.5887	1	11	11	11	True	False
HEK293T	transcriptome	28	periodicity	20510	0.7153	1	11	11	11	True	False
HEK293T	transcriptome	29	periodicity	12028	0.7121	1	11	11	11	True	False
HeLa	transcriptome	26	periodicity	23979	0.4773	1	11	11	11	True	False
HeLa	transcriptome	27	periodicity	38021	0.5555	1	11	11	11	True	False
HeLa	transcriptome	28	periodicity	43575	0.6474	1	11	11	11	True	False
HeLa	transcriptome	29	periodicity	26226	0.586	1	11	11	11	True	False
Huh7	transcriptome	24	periodicity	12985	0.5409	1	11	11	11	True	False
Huh7	transcriptome	25	periodicity	22058	0.5124	1	11	11	11	True	False
Huh7	transcriptome	26	periodicity	33085	0.4774	1	11	11	11	True	False
Huh7	transcriptome	27	periodicity	46515	0.5666	1	11	11	11	True	False
Huh7	transcriptome	28	periodicity	48088	0.6128	1	11	11	11	True	False
Huh7	transcriptome	29	periodicity	24733	0.6141	1	11	11	11	True	False
LuCaP-PDX	transcriptome	26	periodicity	7755	0.4513	1	11	11	11	True	False
LuCaP-PDX	transcriptome	27	periodicity	19969	0.6196	1	11	11	11	True	False
LuCaP-PDX	transcriptome	28	periodicity	32449	0.7231	1	11	11	11	True	False
LuCaP-PDX	transcriptome	29	periodicity	24104	0.6238	1	11	11	11	True	False
LuCaP-PDX	transcriptome	30	periodicity	8775	0.4685	1	11	11	11	True	False
MCF10A	transcriptome	26	periodicity	4986	0.5036	1	11	11	11	True	False
MCF10A	transcriptome	27	periodicity	10191	0.8212	1	11	11	11	True	False
MCF10A	transcriptome	28	periodicity	4573	0.8251	1	11	11	11	True	False
RD-CCL-136	transcriptome	24	periodicity	7810	0.5102	1	11	7	11	True	True
RD-CCL-136	transcriptome	25	periodicity	11624	0.5027	1	11	11	11	True	False
RD-CCL-136	transcriptome	26	periodicity	19985	0.4531	1	11	9	11	True	True
RD-CCL-136	transcriptome	27	periodicity	35820	0.5702	1	11	11	11	True	False
RD-CCL-136	transcriptome	28	periodicity	41416	0.6077	1	11	11	11	True	False
RD-CCL-136	transcriptome	29	periodicity	22331	0.5844	1	11	11	11	True	False
U-251	transcriptome	25	periodicity	6912	0.4986	1	11	11	11	True	False
U-251	transcriptome	26	periodicity	11655	0.4456	1	11	9	11	True	True
U-251	transcriptome	27	periodicity	21698	0.5151	1	11	11	11	True	False
U-251	transcriptome	28	periodicity	32835	0.5911	1	11	11	11	True	False
U-251	transcriptome	29	periodicity	28328	0.5432	1	11	11	11	True	False
U-251	transcriptome	30	periodicity	14208	0.4569	0	12	12	12	True	False
U-343	transcriptome	24	periodicity	9811	0.4105	1	11	7	11	True	True
U-343	transcriptome	25	periodicity	12658	0.4814	1	11	11	11	True	False
U-343	transcriptome	26	periodicity	19769	0.4333	1	11	11	11	True	False
U-343	transcriptome	27	periodicity	32448	0.4919	1	11	11	11	True	False
U-343	transcriptome	28	periodicity	43127	0.571	1	11	11	11	True	False
U-343	transcriptome	29	periodicity	33086	0.536	1	11	11	11	True	False
U-343	transcriptome	30	periodicity	14643	0.443	1	11	12	11	True	True
U2OS	transcriptome	24	periodicity	1752	0.5251	1	11	11	11	True	False
U2OS	transcriptome	25	periodicity	1042	0.4741	1	11	11	11	True	False
U2OS	transcriptome	26	periodicity	1565	0.4581	1	11	11	11	True	False
U2OS	transcriptome	27	periodicity	3260	0.4549	1	11	11	11	True	False
U2OS	transcriptome	28	periodicity	8415	0.5332	1	11	11	11	True	False
U2OS	transcriptome	29	periodicity	8377	0.5175	1	11	11	11	True	False
U2OS	transcriptome	30	periodicity	3219	0.4619	1	11	11	11	True	False
cardiac_fibroblasts	transcriptome	24	periodicity	2329	0.4989	1	11	7	11	True	True
cardiac_fibroblasts	transcriptome	25	periodicity	2866	0.5914	1	11	11	11	True	False
cardiac_fibroblasts	transcriptome	26	periodicity	5293	0.4071	1	11	11	11	True	False
cardiac_fibroblasts	transcriptome	27	periodicity	15588	0.6414	1	11	11	11	True	False
cardiac_fibroblasts	transcriptome	28	periodicity	21916	0.7227	1	11	11	11	True	False
cardiac_fibroblasts	transcriptome	29	periodicity	11628	0.6127	1	11	11	11	True	False
early_neurons	transcriptome	23	periodicity	7459	0.5368	1	11	11	11	True	False
early_neurons	transcriptome	24	periodicity	9821	0.5605	1	11	11	11	True	False
early_neurons	transcriptome	25	periodicity	13039	0.5349	1	11	11	11	True	False
early_neurons	transcriptome	26	periodicity	18822	0.506	1	11	11	11	True	False
early_neurons	transcriptome	27	periodicity	27407	0.6186	1	11	11	11	True	False
early_neurons	transcriptome	28	periodicity	27475	0.6778	1	11	11	11	True	False
early_neurons	transcriptome	29	periodicity	11974	0.6385	1	11	11	11	True	False
fibroblast	transcriptome	23	periodicity	2051	0.4934	1	11	12	11	True	True
fibroblast	transcriptome	24	periodicity	2929	0.5217	1	11	11	11	True	False
fibroblast	transcriptome	25	periodicity	4605	0.5212	1	11	11	11	True	False
fibroblast	transcriptome	26	periodicity	8426	0.4853	1	11	9	11	True	True
fibroblast	transcriptome	27	periodicity	14721	0.5696	1	11	11	11	True	False
fibroblast	transcriptome	28	periodicity	19300	0.6649	1	11	11	11	True	False
fibroblast	transcriptome	29	periodicity	12958	0.5846	1	11	11	11	True	False
fibroblast	transcriptome	30	periodicity	4818	0.4365	0	12	12	12	True	False
hESC	transcriptome	23	periodicity	11186	0.4397	1	11	12	11	True	True
hESC	transcriptome	24	periodicity	12460	0.4593	1	11	7	11	True	True
hESC	transcriptome	25	periodicity	15734	0.4947	1	11	11	11	True	False
hESC	transcriptome	26	periodicity	23170	0.4286	1	11	11	11	True	False
hESC	transcriptome	27	periodicity	36394	0.5415	1	11	11	11	True	False
hESC	transcriptome	28	periodicity	41318	0.6472	1	11	11	11	True	False
hESC	transcriptome	29	periodicity	22470	0.6506	1	11	11	11	True	False
megakaryocytes	transcriptome	25	periodicity	8039	0.4942	1	11	11	11	True	False
megakaryocytes	transcriptome	26	periodicity	12765	0.4717	1	11	11	11	True	False
megakaryocytes	transcriptome	27	periodicity	21921	0.5767	1	11	11	11	True	False
megakaryocytes	transcriptome	28	periodicity	29576	0.6259	1	11	11	11	True	False
megakaryocytes	transcriptome	29	periodicity	28593	0.5822	1	11	11	11	True	False
megakaryocytes	transcriptome	30	periodicity	15969	0.4692	1	11	12	11	True	True
neurons	transcriptome	23	periodicity	4473	0.5325	1	11	11	11	True	False
neurons	transcriptome	24	periodicity	6026	0.539	1	11	11	11	True	False
neurons	transcriptome	25	periodicity	8328	0.5297	1	11	11	11	True	False
neurons	transcriptome	26	periodicity	12710	0.4966	1	11	11	11	True	False
neurons	transcriptome	27	periodicity	19556	0.6021	1	11	11	11	True	False
neurons	transcriptome	28	periodicity	21167	0.6614	1	11	11	11	True	False
neurons	transcriptome	29	periodicity	10416	0.6185	1	11	11	11	True	False
normal_prostate	transcriptome	25	periodicity	2284	0.5188	1	11	11	11	True	False
normal_prostate	transcriptome	26	periodicity	4941	0.4113	2	10	10	10	True	False
normal_prostate	transcriptome	27	periodicity	13751	0.6128	1	11	11	11	True	False
normal_prostate	transcriptome	28	periodicity	14578	0.6685	1	11	11	11	True	False
normal_prostate	transcriptome	29	periodicity	6402	0.6081	1	11	11	11	True	False
normal_prostate	transcriptome	30	periodicity	2889	0.4908	1	11	11	11	True	False
