transcript_id	genome_ribo_reads	genome_rna_reads	txome_ribo_reads	txome_rna_reads
ENST00000258499.8	0	0	0	0
ENST00000258526.9	2	0	2	0
ENST00000258530.8	447	34	453	28
ENST00000258534.13	297	9	288	7
ENST00000258538.7	245	12	242	8
ENST00000258613.5	40	11	43	9
ENST00000258648.7	654	130	640	92
ENST00000258662.3	338	32	412	30
ENST00000258729.8	726	108	1242	121
ENST00000258739.9	1212	246	1069	167
ENST00000258742.10	534	71	518	48
ENST00000258770.8	1182	241	1143	184
ENST00000258772.9	1287	325	1293	243
ENST00000258774.10	498	47	491	39
ENST00000258787.12	1	6	1	4
ENST00000258796.12	726	195	722	165
ENST00000258821.8	326	20	311	17
ENST00000258829.6	13	1	11	1
ENST00000258873.9	0	0	0	0
ENST00000258874.4	65	0	53	0
ENST00000258884.5	138	15	123	12
ENST00000258886.13	1411	142	1391	100
ENST00000258888.5	1	0	1	0
ENST00000258930.8	9	1	10	1
ENST00000258947.7	1080	135	1065	99
ENST00000258955.7	243	50	223	42
ENST00000258962.5	326	54	27	6
ENST00000258969.4	0	0	0	0
ENST00000258975.7	616	88	599	72
ENST00000259006.8	59	6	58	6
ENST00000259008.7	1280	138	1221	101
ENST00000259021.9	662	44	896	45
ENST00000259030.3	0	0	0	0
ENST00000259037.8	997	176	957	139
ENST00000259053.6	4	0	8	0
ENST00000259056.5	2	0	2	0
ENST00000259075.6	405	30	400	25
ENST00000259089.9	0	0	0	0
ENST00000259154.9	1098	187	1080	133
ENST00000259205.5	0	0	0	0
ENST00000259211.7	0	0	0	0
ENST00000259216.6	0	0	0	0
ENST00000259229.7	206	11	205	10
ENST00000259239.8	499	120	481	94
ENST00000259241.7	43	21	162	52
ENST00000259253.11	2270	330	2248	247
ENST00000259254.9	0	0	0	0
ENST00000259324.5	943	140	868	108
ENST00000259339.7	522	77	517	65
ENST00000259351.10	17	6	18	5
ENST00000259357.3	0	0	0	0
ENST00000259362.1	0	0	0	0
ENST00000259365.9	217	14	208	12
ENST00000259392.8	75	2	70	0
ENST00000259396.8	0	0	0	0
ENST00000259400.11	202	17	193	14
ENST00000259407.6	4	0	4	0
ENST00000259455.4	0	0	0	0
ENST00000259456.7	0	0	0	0
ENST00000259457.8	1417	325	1425	259
ENST00000259466.1	0	0	0	0
ENST00000259467.9	700	70	697	56
ENST00000259470.6	258	22	203	13
ENST00000259512.9	768	70	773	63
ENST00000259526.4	359	20	350	15
ENST00000259569.6	936	143	986	109
ENST00000259605.11	140	12	135	9
ENST00000259607.7	0	0	0	0
ENST00000259608.8	0	0	0	0
ENST00000259631.5	0	0	0	0
ENST00000259632.12	649	94	633	69
ENST00000259633.9	0	0	0	0
ENST00000259667.6	355	79	17	1
ENST00000259711.11	914	238	899	201
ENST00000259727.5	16	4	16	0
ENST00000259746.13	449	37	442	26
ENST00000259750.9	0	1	0	0
ENST00000259782.9	0	0	0	0
ENST00000259803.8	0	0	0	0
ENST00000259808.9	392	24	377	21
ENST00000259818.8	10	0	5	0
ENST00000259845.5	0	0	0	0
ENST00000259870.4	0	0	0	0
ENST00000259873.5	658	92	641	62
ENST00000259874.6	186	43	185	32
ENST00000259881.10	5	0	5	0
ENST00000259883.3	283	46	260	29
ENST00000259895.9	413	62	413	47
ENST00000259915.13	1	0	1	0
ENST00000259938.7	0	0	0	0
ENST00000259939.4	18	0	18	0
ENST00000259951.12	59	24	26	0
ENST00000259953.8	544	37	525	30
ENST00000259963.4	163	18	216	22
ENST00000259983.7	3	0	4	0
ENST00000259989.7	0	0	0	0
ENST00000260010.6	2	0	1	0
ENST00000260045.8	47	30	524	104
ENST00000260102.9	767	64	780	61
ENST00000260113.7	0	0	0	0
ENST00000260116.5	5	0	5	0
ENST00000260118.7	984	98	974	79
ENST00000260126.9	73	5	72	4
ENST00000260128.8	5	7	5	4
ENST00000260129.6	793	77	752	61
ENST00000260187.7	78	2	75	2
ENST00000260191.7	0	0	0	0
ENST00000260197.12	285	33	277	24
ENST00000260210.5	251	23	245	20
ENST00000260227.5	6	0	6	0
ENST00000260228.3	0	0	0	0
ENST00000260229.5	0	0	0	0
ENST00000260247.10	495	68	472	46
ENST00000260257.9	34	2	33	2
ENST00000260270.3	181	20	352	23
ENST00000260276.8	103	2	102	3
ENST00000260302.8	6	0	5	0
ENST00000260315.8	0	0	0	0
ENST00000260323.15	0	0	0	0
ENST00000260327.9	770	57	832	47
ENST00000260356.6	4768	735	4556	563
ENST00000260361.9	484	52	487	33
ENST00000260363.9	2026	513	1887	337
ENST00000260372.8	460	32	431	22
ENST00000260379.11	253	443	835	839
ENST00000260382.9	290	28	287	23
ENST00000260385.10	647	134	651	106
ENST00000260386.7	15	7	15	6
ENST00000260403.7	273	19	271	18
ENST00000260408.8	1897	195	1879	144
ENST00000260442.3	0	0	0	0
ENST00000260443.9	314	57	794	85
ENST00000260447.6	125	14	119	4
ENST00000260453.4	357	41	344	32
ENST00000260502.11	473	71	468	52
ENST00000260505.13	392	65	384	51
ENST00000260508.9	594	33	573	26
ENST00000260526.11	1334	182	1295	134
ENST00000260570.8	593	99	574	72
ENST00000260585.12	836	26	810	14
ENST00000260599.10	20	1	20	1
ENST00000260600.9	562	155	507	96
ENST00000260641.9	817	250	2045	306
ENST00000260643.7	420	94	412	74
ENST00000260649.11	0	14	0	0
ENST00000260653.5	0	0	0	0
ENST00000260665.12	3469	666	3443	481
ENST00000260682.8	0	0	0	0
ENST00000260702.4	20	2	21	1
ENST00000260723.6	9	0	10	0
ENST00000260731.5	2281	314	2266	239
ENST00000260743.10	0	1	0	1
ENST00000260746.6	519	66	509	53
ENST00000260753.8	2039	369	1985	273
ENST00000260762.10	515	28	511	24
ENST00000260803.9	702	66	679	52
ENST00000260810.10	1555	376	1475	279
ENST00000260818.11	1447	258	1453	191
ENST00000260843.5	1	0	1	0
ENST00000260947.9	573	48	555	33
ENST00000260950.5	0	0	0	0
ENST00000260952.9	562	150	432	85
ENST00000260953.10	518	50	551	32
ENST00000260970.8	816	212	908	154
ENST00000260983.8	81	13	77	10
ENST00000260988.5	0	0	0	0
ENST00000261015.5	882	148	1046	118
ENST00000261023.8	3533	555	3489	424
ENST00000261024.7	14	3	14	3
ENST00000261037.7	1333	238	1269	189
ENST00000261038.6	465	33	460	29
ENST00000261047.8	0	0	0	0
ENST00000261058.3	0	0	0	0
ENST00000261070.6	97	30	249	37
ENST00000261167.7	732	239	1238	248
ENST00000261168.8	1071	62	1044	43
ENST00000261169.10	1	0	1	0
ENST00000261170.5	0	0	0	0
ENST00000261172.8	0	0	0	0
ENST00000261177.10	0	0	0	0
ENST00000261180.9	58	6	58	4
ENST00000261183.8	1061	117	1036	101
ENST00000261191.12	1518	383	1512	283
ENST00000261192.12	1874	261	1847	207
ENST00000261195.3	0	0	0	0
ENST00000261200.8	0	0	0	0
ENST00000261205.9	0	0	0	0
ENST00000261208.8	0	0	0	0
ENST00000261211.8	361	26	361	20
ENST00000261226.9	15	0	14	0
ENST00000261233.9	60	2	57	1
ENST00000261234.11	251	23	234	18
ENST00000261245.9	593	43	586	34
ENST00000261249.7	653	40	629	29
ENST00000261250.8	488	40	478	28
ENST00000261254.8	0	0	0	0
ENST00000261263.5	543	54	546	43
ENST00000261267.7	0	0	0	0
ENST00000261275.4	0	0	0	0
ENST00000261292.9	24	0	25	0
ENST00000261296.7	276	18	265	12
ENST00000261303.13	3	0	1759	147
ENST00000261304.7	41	2	42	1
ENST00000261308.10	737	157	716	114
ENST00000261313.3	528	221	858	213
ENST00000261318.5	61	27	69	24
ENST00000261326.6	1008	166	973	118
ENST00000261336.7	3	1	3	1
ENST00000261349.9	783	121	750	100
ENST00000261366.10	2052	404	1975	293
ENST00000261368.13	1	0	1	0
ENST00000261369.9	145	12	148	8
ENST00000261374.4	0	0	0	0
ENST00000261377.10	244	30	234	19
ENST00000261381.7	9	0	8	0
ENST00000261383.3	2	4	2	4
ENST00000261396.6	1570	144	1507	115
ENST00000261401.7	1809	336	1769	263
ENST00000261402.6	288	22	282	22
ENST00000261405.9	1	1	0	1
ENST00000261407.9	770	90	745	25
ENST00000261413.9	1398	195	1377	138
ENST00000261416.12	1613	321	1568	231
ENST00000261425.7	622	190	685	160
ENST00000261427.10	781	106	785	75
ENST00000261435.11	265	45	260	31
ENST00000261438.10	213	23	216	15
ENST00000261439.9	257	104	255	76
ENST00000261441.9	260	31	244	25
ENST00000261448.5	1	1	1	0
ENST00000261455.8	306	30	308	25
ENST00000261458.8	108	3	109	3
ENST00000261461.7	352	44	340	33
ENST00000261464.10	523	68	502	56
ENST00000261475.9	382	35	382	30
ENST00000261479.9	466	91	53	12
ENST00000261483.4	1159	63	1168	50
ENST00000261488.10	228	38	207	30
ENST00000261489.6	753	147	668	107
ENST00000261497.9	1652	207	1539	159
ENST00000261499.10	420	34	400	25
ENST00000261503.9	1275	421	1266	312
ENST00000261507.11	902	37	924	28
ENST00000261520.9	586	99	694	79
ENST00000261530.12	401	40	401	27
ENST00000261531.12	1057	199	1281	179
ENST00000261534.8	394	67	382	50
ENST00000261537.6	686	87	690	58
ENST00000261556.11	195	19	194	13
ENST00000261558.8	359	22	351	15
ENST00000261560.10	80	2	24	1
ENST00000261584.9	441	69	425	55
ENST00000261588.9	318	59	308	42
ENST00000261590.13	2738	311	2692	245
ENST00000261592.9	0	0	0	0
ENST00000261593.8	219	4	303	3
ENST00000261596.8	371	55	352	45
ENST00000261597.9	1171	168	1137	131
ENST00000261600.11	692	123	680	85
ENST00000261601.8	1554	181	1534	122
ENST00000261609.13	880	226	1640	332
ENST00000261622.5	2420	1482	2904	1418
ENST00000261623.8	640	171	550	126
ENST00000261636.13	548	50	556	41
ENST00000261637.5	1839	220	1798	172
ENST00000261643.8	289	47	305	34
ENST00000261646.10	1429	530	1400	437
ENST00000261647.10	487	31	474	26
ENST00000261652.7	0	0	0	0
ENST00000261653.10	263	49	231	36
ENST00000261658.7	922	167	889	126
ENST00000261667.8	1087	76	1018	54
ENST00000261674.8	435	113	419	82
ENST00000261681.9	1043	148	1024	118
ENST00000261692.7	286	88	310	72
ENST00000261693.11	1695	443	1627	336
ENST00000261700.8	1171	250	1452	225
ENST00000261707.7	0	0	0	0
ENST00000261708.9	1226	279	1306	216
ENST00000261712.8	1567	264	1568	196
ENST00000261714.11	1089	173	1086	128
ENST00000261716.7	932	80	897	60
ENST00000261721.9	932	152	917	126
ENST00000261726.11	0	0	0	0
ENST00000261731.4	0	0	0	0
ENST00000261733.7	638	112	626	88
ENST00000261735.4	707	208	897	207
ENST00000261739.9	534	75	516	62
ENST00000261745.9	873	125	855	92
ENST00000261751.8	2	0	2	0
ENST00000261758.6	881	150	856	100
ENST00000261769.10	13	0	13	0
ENST00000261772.13	2038	427	1971	310
ENST00000261776.10	601	124	588	98
ENST00000261778.2	611	67	606	51
ENST00000261783.4	38	3	39	0
ENST00000261789.9	0	0	0	0
ENST00000261796.4	0	0	0	0
ENST00000261797.7	602	254	546	198
ENST00000261798.10	1085	220	728	114
ENST00000261799.9	769	151	710	120
ENST00000261800.5	1	0	0	0
ENST00000261811.6	181	8	197	7
ENST00000261813.9	293	70	517	55
ENST00000261819.8	1424	294	1389	218
ENST00000261822.5	68	3	66	3
ENST00000261835.8	0	0	0	0
ENST00000261839.12	47	4	46	4
ENST00000261842.10	496	34	490	24
ENST00000261844.11	241	36	234	22
ENST00000261845.7	208	42	564	71
ENST00000261854.10	1040	81	1328	60
ENST00000261858.7	722	65	697	45
ENST00000261861.10	36	5	37	4
ENST00000261866.12	1087	119	1065	87
ENST00000261867.5	82	1	74	1
ENST00000261868.10	702	313	1019	280
ENST00000261875.10	1450	186	1417	143
ENST00000261879.10	185	4	180	4
ENST00000261880.10	866	113	849	82
ENST00000261881.9	575	43	707	33
ENST00000261883.6	0	5	0	5
ENST00000261884.8	605	88	596	80
ENST00000261888.10	157	6	159	6
ENST00000261890.7	931	139	953	108
ENST00000261891.7	47	10	48	6
ENST00000261892.11	17	3	17	3
ENST00000261893.9	666	48	644	32
ENST00000261900.8	675	62	639	49
ENST00000261917.4	0	0	0	0
ENST00000261918.9	85	5	87	5
ENST00000261921.8	330	26	315	22
ENST00000261937.11	1	0	1	0
ENST00000261942.7	904	122	996	101
ENST00000261965.8	1023	93	1032	73
ENST00000261973.12	1477	667	1440	528
ENST00000261978.9	309	64	296	51
ENST00000261980.3	0	0	0	0
ENST00000261994.9	0	0	0	0
ENST00000262018.8	14	0	11	0
ENST00000262027.10	1828	409	1818	318
ENST00000262030.8	3037	1534	3035	1147
ENST00000262031.10	89	6	297	12
ENST00000262033.11	294	110	1236	216
ENST00000262039.9	802	86	793	65
ENST00000262041.6	0	0	0	0
ENST00000262043.8	1493	264	1466	199
ENST00000262053.8	717	54	659	30
ENST00000262055.9	417	83	392	73
ENST00000262056.13	288	276	2505	1313
ENST00000262061.7	1049	240	1080	186
ENST00000262065.8	7	2	7	2
ENST00000262067.5	153	6	145	6
ENST00000262077.3	1449	214	1417	163
ENST00000262093.11	682	49	657	33
ENST00000262094.10	79	0	79	0
ENST00000262096.13	113	5	119	5
ENST00000262101.10	1	0	1	0
ENST00000262103.8	0	0	0	0
ENST00000262105.6	2908	703	2828	547
ENST00000262109.8	285	28	262	21
ENST00000262113.9	1	0	2	0
ENST00000262120.10	561	37	548	32
ENST00000262126.9	218	71	209	56
ENST00000262127.7	394	30	380	23
ENST00000262133.11	629	124	619	101
ENST00000262134.10	590	23	573	16
ENST00000262138.4	81	24	75	19
ENST00000262139.10	211	8	196	8
ENST00000262144.11	422	93	427	72
ENST00000262146.9	464	57	452	43
ENST00000262150.7	8	0	6	0
ENST00000262158.7	74	22	69	20
ENST00000262178.7	28	11	24	6
ENST00000262186.10	4	0	3	0
ENST00000262187.10	239	97	964	158
ENST00000262188.12	279	63	275	52
ENST00000262189.11	434	81	509	69
ENST00000262193.7	1316	265	1301	210
ENST00000262198.9	712	56	699	37
ENST00000262207.9	826	80	817	60
ENST00000262209.5	11	7	10	2
ENST00000262210.9	286	79	284	61
ENST00000262213.7	1687	272	1562	197
ENST00000262215.8	956	119	933	81
ENST00000262219.10	0	0	0	0
ENST00000262225.8	1012	193	964	138
ENST00000262233.11	203	5	198	5
ENST00000262238.10	949	204	872	167
ENST00000262241.7	469	26	453	20
ENST00000262244.6	143	4	132	3
ENST00000262259.7	103	19	68	13
ENST00000262262.5	26	4	25	3
ENST00000262265.10	579	125	547	88
ENST00000262283.5	0	0	0	0
ENST00000262288.8	1044	139	1045	106
ENST00000262290.9	0	0	0	0
ENST00000262291.9	1337	230	1315	179
ENST00000262293.9	1018	179	1011	136
ENST00000262294.12	835	136	814	114
ENST00000262301.16	13	0	12	0
ENST00000262302.14	473	152	429	112
ENST00000262304.9	71	207	207	488
ENST00000262305.9	103	72	100	65
ENST00000262315.14	289	150	280	121
ENST00000262316.10	147	56	150	55
ENST00000262319.11	639	216	607	180
ENST00000262320.8	289	144	272	111
ENST00000262340.6	9	1	9	0
ENST00000262345.5	0	3	0	0
ENST00000262348.9	1415	176	1370	126
ENST00000262352.8	40	0	38	1
ENST00000262365.8	1	1	0	0
ENST00000262366.7	195	84	179	71
ENST00000262367.10	1230	191	1169	141
ENST00000262370.12	690	107	661	68
ENST00000262375.11	912	182	870	132
ENST00000262376.11	574	197	555	154
ENST00000262384.4	495	54	482	43
ENST00000262394.7	784	130	753	93
ENST00000262395.10	356	193	368	166
ENST00000262406.10	2	0	0	0
ENST00000262407.6	15	1	14	1
ENST00000262415.8	1534	258	1524	202
ENST00000262418.12	0	0	0	0
ENST00000262424.10	989	65	971	45
ENST00000262426.6	221	36	169	31
ENST00000262428.5	655	351	717	302
ENST00000262429.8	0	0	0	0
ENST00000262430.6	114	9	111	8
ENST00000262432.13	181	28	15	1
ENST00000262435.14	297	60	318	51
ENST00000262441.10	473	57	466	45
ENST00000262442.9	0	0	0	0
ENST00000262450.8	4	0	4	0
ENST00000262455.7	1023	109	1081	74
ENST00000262457.7	229	21	228	16
ENST00000262460.5	433	19	423	14
ENST00000262461.7	1115	63	1103	45
ENST00000262462.9	5	0	5	0
ENST00000262482.11	556	207	554	164
ENST00000262483.13	60	12	60	11
ENST00000262487.5	1	0	1	0
ENST00000262498.8	503	51	510	42
ENST00000262506.8	823	58	822	41
ENST00000262507.11	513	105	504	67
ENST00000262510.10	284	71	266	51
ENST00000262518.9	29	7	35	5
ENST00000262519.14	330	225	310	174
ENST00000262525.6	314	22	251	13
ENST00000262545.7	67	2	62	2
ENST00000262547.9	11	1	11	0
ENST00000262554.7	935	104	1112	95
ENST00000262577.6	321	36	295	28
ENST00000262584.7	1273	1996	1765	1956
ENST00000262593.10	4	0	4	0
ENST00000262608.12	0	0	0	0
ENST00000262613.10	608	160	571	119
ENST00000262622.4	10	0	10	0
ENST00000262623.4	0	0	0	0
ENST00000262626.6	0	0	0	0
ENST00000262629.9	0	0	0	0
ENST00000262631.11	55	13	56	10
ENST00000262633.9	815	197	811	173
ENST00000262643.8	352	41	345	36
ENST00000262644.9	747	75	734	61
ENST00000262646.12	696	101	709	72
ENST00000262648.8	520	36	621	26
ENST00000262662.5	431	190	437	145
ENST00000262710.5	1744	587	1640	431
ENST00000262713.7	715	92	675	67
ENST00000262715.10	250	69	231	46
ENST00000262717.9	0	0	0	0
ENST00000262719.10	220	23	222	21
ENST00000262726.12	3	3	2	1
ENST00000262738.8	487	192	441	132
ENST00000262741.10	29	1	29	1
ENST00000262746.5	1378	903	1680	598
ENST00000262752.5	0	0	0	0
ENST00000262753.9	1	0	1	0
ENST00000262764.11	352	72	348	57
ENST00000262768.11	1105	433	1064	354
ENST00000262776.8	2051	831	1975	678
ENST00000262794.10	12	5	12	2
ENST00000262803.10	1032	220	1019	181
ENST00000262809.9	177	24	172	18
ENST00000262811.10	191	25	169	15
ENST00000262812.9	928	298	895	229
ENST00000262815.13	362	43	346	35
ENST00000262820.7	1459	152	1150	105
ENST00000262839.2	0	0	0	0
ENST00000262844.10	293	29	301	22
ENST00000262848.6	62	10	34	4
ENST00000262865.9	0	0	0	0
ENST00000262866.9	0	0	0	0
ENST00000262873.12	0	1	0	1
ENST00000262879.11	1044	107	1017	88
ENST00000262887.10	459	90	440	75
ENST00000262891.9	154	66	155	53
ENST00000262894.11	60	11	21	1
ENST00000262895.7	0	0	0	0
ENST00000262903.9	125	6	117	5
ENST00000262919.10	798	69	773	54
ENST00000262932.5	302	49	281	37
ENST00000262940.12	1	0	0	0
ENST00000262942.10	80	19	123	23
ENST00000262947.8	639	121	561	91
ENST00000262948.10	587	373	282	125
ENST00000262958.4	0	0	0	0
ENST00000262960.13	686	141	677	125
ENST00000262961.9	0	0	0	0
ENST00000262962.12	397	60	377	46
ENST00000262965.12	490	218	502	176
ENST00000262970.9	0	0	0	0
ENST00000262971.3	428	46	400	34
ENST00000262982.3	3593	748	3536	529
ENST00000262990.9	518	73	505	54
ENST00000262995.8	133	3	133	2
ENST00000262999.4	0	0	0	0
ENST00000263025.9	527	84	512	67
ENST00000263026.10	805	112	762	85
ENST00000263035.9	327	26	314	21
ENST00000263038.9	347	29	338	20
ENST00000263045.8	0	0	0	0
ENST00000263054.10	0	0	0	0
ENST00000263056.6	138	15	131	10
ENST00000263063.8	874	54	858	44
ENST00000263066.10	30	0	22	0
ENST00000263071.9	0	0	0	0
ENST00000263073.11	454	92	436	68
ENST00000263080.3	0	0	0	0
ENST00000263083.11	463	91	451	73
ENST00000263087.9	221	96	188	77
ENST00000263088.11	548	93	535	67
ENST00000263092.11	673	79	662	58
ENST00000263093.7	116	35	114	29
ENST00000263094.11	513	177	490	122
ENST00000263095.10	156	15	94	3
ENST00000263097.9	1084	409	1390	384
ENST00000263100.8	15	1	12	1
ENST00000263102.7	813	114	805	86
ENST00000263116.6	46	0	43	0
ENST00000263125.10	1	0	1	0
ENST00000263150.9	158	23	157	12
ENST00000263160.4	0	0	0	0
ENST00000263168.4	837	136	1366	128
ENST00000263174.9	513	76	488	58
ENST00000263181.7	1222	177	1215	136
ENST00000263182.8	0	1	0	1
ENST00000263187.4	0	0	0	0
ENST00000263196.12	421	77	406	66
ENST00000263201.7	793	115	778	89
ENST00000263202.15	727	139	835	132
ENST00000263205.11	562	110	565	93
ENST00000263207.8	50	12	49	6
ENST00000263208.5	495	154	491	116
ENST00000263212.10	237	57	226	43
ENST00000263228.4	755	165	730	116
ENST00000263233.8	10	0	10	0
ENST00000263238.7	1948	522	2235	414
ENST00000263239.7	960	222	1464	192
ENST00000263245.10	795	85	756	59
ENST00000263246.8	1024	249	944	199
ENST00000263253.9	1215	165	1169	121
ENST00000263256.7	387	44	379	34
ENST00000263257.6	0	0	0	0
ENST00000263265.11	4	4	4	3
ENST00000263266.3	0	0	0	0
ENST00000263268.11	36	2	33	2
ENST00000263269.3	17	0	16	0
ENST00000263270.11	609	205	660	185
ENST00000263274.12	942	259	927	216
ENST00000263275.5	118	10	104	8
ENST00000263277.8	1746	399	1524	322
ENST00000263278.9	7	2	7	1
ENST00000263280.11	712	261	705	210
ENST00000263285.11	0	0	0	0
ENST00000263314.3	0	0	0	0
ENST00000263317.9	1	0	2	0
ENST00000263321.6	0	0	0	0
ENST00000263326.7	0	0	0	0
ENST00000263331.10	1010	120	986	100
ENST00000263334.9	1	0	1	0
ENST00000263339.4	1	0	1	0
ENST00000263341.7	2	0	2	0
ENST00000263346.13	921	314	920	266
ENST00000263354.8	842	168	839	140
ENST00000263360.11	561	79	626	57
ENST00000263368.9	654	144	639	115
ENST00000263370.3	200	28	198	22
ENST00000263372.5	8	1	8	1
ENST00000263377.6	916	116	857	94
ENST00000263379.4	324	53	323	43
ENST00000263382.8	601	133	594	105
ENST00000263383.8	818	165	818	134
ENST00000263384.12	294	72	354	73
ENST00000263388.7	1608	256	1499	207
ENST00000263390.8	62	8	63	7
ENST00000263401.10	744	121	733	90
ENST00000263408.5	0	0	0	0
ENST00000263413.7	0	0	0	0
ENST00000263431.4	0	0	0	0
ENST00000263433.8	186	175	182	149
ENST00000263440.6	423	11	419	9
ENST00000263461.11	948	146	944	107
ENST00000263464.9	11	6	8	3
ENST00000263468.13	135	22	132	20
ENST00000263519.4	0	0	0	0
ENST00000263549.8	229	23	222	14
ENST00000263556.3	1397	146	1376	113
ENST00000263559.11	921	102	1090	72
ENST00000263563.7	123	18	120	17
ENST00000263576.11	0	0	0	0
ENST00000263577.11	204	24	195	22
ENST00000263578.10	416	67	415	58
ENST00000263579.5	435	59	405	41
ENST00000263593.8	301	18	301	15
ENST00000263598.6	0	0	1	0
ENST00000263610.7	0	0	0	0
ENST00000263620.8	66	2	60	2
ENST00000263629.9	610	168	617	124
ENST00000263630.13	1319	331	1308	264
ENST00000263634.8	586	44	574	35
ENST00000263635.8	919	150	872	101
ENST00000263636.5	0	0	0	0
ENST00000263645.10	1061	184	1050	143
ENST00000263650.12	284	59	276	51
ENST00000263655.4	54	2	51	2
ENST00000263657.7	549	54	534	48
ENST00000263663.10	513	49	478	28
ENST00000263665.6	0	0	0	0
ENST00000263666.9	6	4	7	4
ENST00000263672.11	82	66	1010	152
ENST00000263674.4	271	182	257	142
ENST00000263681.7	792	71	779	46
ENST00000263686.11	0	0	0	0
ENST00000263688.4	378	55	372	41
ENST00000263694.9	902	133	1154	106
ENST00000263697.6	452	186	1123	268
ENST00000263702.11	368	37	343	24
ENST00000263707.6	0	0	0	0
ENST00000263708.7	123	39	121	23
ENST00000263726.4	7	0	6	0
ENST00000263733.5	454	63	466	55
ENST00000263734.5	840	232	813	190
ENST00000263735.9	16	0	18	0
ENST00000263736.5	437	52	421	43
ENST00000263753.8	541	34	522	20
ENST00000263754.5	155	27	149	22
ENST00000263773.10	882	380	850	271
ENST00000263774.9	998	345	990	269
ENST00000263776.9	51	14	50	6
ENST00000263780.9	651	45	622	31
ENST00000263791.10	1315	309	1297	230
ENST00000263795.11	998	107	974	78
ENST00000263798.8	421	123	541	104
ENST00000263800.11	0	0	0	0
ENST00000263801.7	1955	311	1895	219
ENST00000263847.6	1091	115	1051	89
ENST00000263849.9	315	7	304	6
ENST00000263851.9	6	0	6	0
ENST00000263856.9	32	13	28	11
ENST00000263857.11	1094	178	1053	144
ENST00000263863.9	0	0	0	0
ENST00000263864.10	94	11	64	3
ENST00000263867.9	702	143	665	104
ENST00000263881.8	471	39	468	32
ENST00000263897.10	419	89	402	69
ENST00000263904.5	499	20	489	14
ENST00000263915.8	60	6	61	4
ENST00000263918.9	602	50	637	43
ENST00000263921.8	141	16	137	10
ENST00000263923.5	3	0	3	0
ENST00000263925.8	9	0	9	0
ENST00000263932.7	10	3	9	2
ENST00000263955.9	469	25	456	16
ENST00000263956.8	1164	131	1151	100
ENST00000263960.6	425	28	477	25
ENST00000263966.8	1194	140	1167	106
ENST00000263967.4	488	74	558	61
ENST00000263974.4	344	36	347	36
ENST00000263980.8	241	19	236	12
ENST00000263985.11	576	46	557	42
ENST00000263991.9	649	147	636	108
ENST00000263997.11	290	83	277	43
ENST00000264001.9	167	24	179	19
ENST00000264005.10	0	11	0	11
ENST00000264012.9	27	6	24	6
ENST00000264020.6	88	11	86	11
ENST00000264025.8	106	7	101	4
ENST00000264027.9	859	76	855	63
ENST00000264028.5	1597	255	1573	195
ENST00000264029.9	0	0	0	0
ENST00000264031.3	0	0	0	0
ENST00000264033.6	366	30	352	18
ENST00000264036.6	1846	522	1760	423
ENST00000264039.7	1535	390	1446	295
ENST00000264042.8	455	22	437	14
ENST00000264047.3	0	0	0	0
ENST00000264057.6	1319	441	1281	358
ENST00000264059.8	81	5	72	3
ENST00000264065.12	1588	280	1524	205
ENST00000264071.7	18	4	8	0
ENST00000264079.11	380	42	362	31
ENST00000264080.11	469	86	453	73
ENST00000264093.9	510	62	467	45
ENST00000264094.8	42	6	39	3
ENST00000264107.11	326	39	324	30
ENST00000264108.5	1480	259	1423	169
ENST00000264110.7	494	28	471	23
ENST00000264144.5	4	0	3	0
ENST00000264151.10	323	14	314	10
ENST00000264156.3	2306	476	2290	365
ENST00000264157.10	338	32	324	25
ENST00000264159.11	345	14	337	11
ENST00000264161.9	1205	145	1225	128
ENST00000264162.7	1	0	1	0
ENST00000264167.10	1815	307	1823	230
ENST00000264170.9	1673	267	1668	199
ENST00000264183.9	853	163	829	122
ENST00000264187.7	786	97	753	75
ENST00000264192.8	1	0	0	0
ENST00000264198.5	492	61	483	52
ENST00000264202.8	1482	481	1469	349
ENST00000264218.7	394	15	360	13
ENST00000264220.6	580	47	1014	63
ENST00000264228.9	205	12	214	11
ENST00000264229.11	147	27	140	19
ENST00000264230.5	474	76	467	66
ENST00000264231.7	0	0	0	0
ENST00000264233.6	260	66	249	49
ENST00000264234.8	3	0	3	0
ENST00000264235.13	699	58	724	44
ENST00000264245.9	69	10	67	6
ENST00000264246.8	0	0	0	0
ENST00000264249.8	162	14	152	12
ENST00000264254.11	157	37	552	73
ENST00000264255.8	425	55	765	56
ENST00000264257.7	12	1	12	1
ENST00000264258.8	235	317	873	518
ENST00000264260.6	3	0	0	0
ENST00000264265.4	128	7	130	5
ENST00000264276.11	352	41	343	32
ENST00000264279.10	1513	521	1589	408
ENST00000264313.11	399	24	381	17
ENST00000264316.9	0	0	0	0
ENST00000264318.4	0	0	0	0
ENST00000264335.13	806	732	1805	781
ENST00000264344.10	421	48	411	42
ENST00000264346.12	71	11	70	8
ENST00000264350.8	154	13	147	7
ENST00000264360.7	1	0	1	0
ENST00000264363.7	2	0	2	0
ENST00000264376.5	0	0	0	0
ENST00000264377.8	173	37	170	30
ENST00000264380.9	437	82	424	61
ENST00000264381.8	3	0	3	0
ENST00000264382.8	60	2	60	1
ENST00000264389.7	999	117	995	91
ENST00000264399.5	55	2	56	2
ENST00000264409.5	120	8	117	5
