transcript_id	genome_ribo_reads	genome_rna_reads	txome_ribo_reads	txome_rna_reads
ENST00000215727.10	0	0	0	0
ENST00000215730.12	422	39	396	29
ENST00000215742.9	190	96	186	75
ENST00000215743.8	44	7	46	4
ENST00000215754.8	772	799	750	662
ENST00000215770.6	7	0	6	0
ENST00000215781.3	0	0	0	0
ENST00000215790.12	115	11	112	10
ENST00000215793.13	1526	307	1536	249
ENST00000215794.8	1	0	1	0
ENST00000215812.9	0	0	0	0
ENST00000215829.8	760	235	734	177
ENST00000215832.11	1052	129	1007	98
ENST00000215838.8	2	0	2	0
ENST00000215855.7	0	0	0	0
ENST00000215882.10	754	198	770	150
ENST00000215885.4	9	0	9	0
ENST00000215886.6	0	0	0	0
ENST00000215904.7	66	16	62	15
ENST00000215906.6	13	0	13	0
ENST00000215909.10	971	606	944	472
ENST00000215912.10	32	2	34	2
ENST00000215917.11	335	39	316	22
ENST00000215941.9	223	23	222	17
ENST00000215957.10	347	85	339	66
ENST00000215980.10	459	62	429	45
ENST00000216014.9	524	31	496	20
ENST00000216024.7	21	2	21	1
ENST00000216027.8	335	22	329	18
ENST00000216034.6	402	150	519	145
ENST00000216036.9	0	0	0	0
ENST00000216038.6	1474	253	1445	187
ENST00000216039.9	240	77	221	49
ENST00000216044.10	612	74	606	61
ENST00000216068.9	84	4	73	2
ENST00000216071.4	0	0	0	0
ENST00000216075.11	1	0	1	0
ENST00000216085.12	127	45	110	41
ENST00000216099.13	0	0	0	0
ENST00000216101.7	0	0	1	0
ENST00000216106.6	521	134	497	86
ENST00000216115.3	4	0	4	0
ENST00000216117.9	500	50	498	40
ENST00000216121.12	744	66	738	50
ENST00000216122.9	1746	438	1723	356
ENST00000216124.10	239	45	221	36
ENST00000216127.5	8	0	7	0
ENST00000216129.7	1217	371	1222	290
ENST00000216133.10	5	0	6	0
ENST00000216139.10	0	0	0	0
ENST00000216144.4	1	1	1	1
ENST00000216146.9	849	1318	2434	2520
ENST00000216160.11	364	54	355	42
ENST00000216180.8	200	22	192	14
ENST00000216181.11	6489	4746	5650	3427
ENST00000216185.7	391	79	463	65
ENST00000216190.13	1826	527	1788	417
ENST00000216200.9	0	0	0	0
ENST00000216211.9	0	0	0	0
ENST00000216214.7	277	34	276	20
ENST00000216218.8	146	58	1951	593
ENST00000216223.10	1	0	2	0
ENST00000216225.9	635	122	608	97
ENST00000216237.10	751	134	718	98
ENST00000216241.14	5	1	5	1
ENST00000216252.4	332	63	294	21
ENST00000216254.9	1156	521	1463	344
ENST00000216259.8	466	80	453	66
ENST00000216264.13	524	156	520	126
ENST00000216267.12	426	103	407	85
ENST00000216268.6	379	86	358	72
ENST00000216271.10	139	44	134	36
ENST00000216274.10	1	0	0	0
ENST00000216277.12	1213	194	1024	105
ENST00000216281.13	1918	1893	5088	2379
ENST00000216286.10	29	16	27	5
ENST00000216294.5	610	57	603	47
ENST00000216297.7	1936	681	2851	675
ENST00000216330.7	867	187	928	131
ENST00000216336.3	0	0	0	0
ENST00000216338.9	0	0	0	0
ENST00000216341.9	0	0	0	0
ENST00000216367.10	445	18	424	15
ENST00000216373.10	327	53	313	39
ENST00000216392.8	2373	649	2217	472
ENST00000216410.8	434	46	621	50
ENST00000216416.9	688	101	666	80
ENST00000216420.12	190	10	188	8
ENST00000216442.12	719	79	723	68
